Timestamp,Nick,Operacion,Valores,Textos
1686357978,asdasd,Creo perfil,",",","
1686358005,x,Creo perfil,",",","
1686358031,asfasd,Creo perfil,",",","
1686358044,zz,Creo perfil,",",","
1686358220,x,Cambio foto,",",","
1686358393,asfasd,Cambio foto,",",","
1686358411,asfasd,Cambio foto,",",","
1686358416,asfasd,Cambio foto,",",","
1686358444,x,Cambio foto,",",","
1686358448,x,Cambio foto,",",","
1686358448,x,CACA,",",","
1686358448,x,CACA,",",","
1686358448,x,CACA,",",","
1686370264,asfasd,Edito su perfil,",",","
1686370398,asfasd,Edito su perfil,",",","
1686370431,asfasd,Edito su perfil,",",","
